"","bearded","ribbon","ringed","spotted","Age"
"1",0.586,0.516,0.639,0.442,0
"2",0.898,0.878,0.914,0.849,1
"3",0.929,0.914,0.941,0.894,2
"4",0.943,0.931,0.953,0.915,3
"5",0.95,0.94,0.959,0.925,4
"6",0.953,0.944,0.962,0.93,5
"7",0.954,0.945,0.963,0.931,6
"8",0.952,0.943,0.962,0.929,7
"9",0.949,0.939,0.96,0.923,8
"10",0.943,0.933,0.956,0.915,9
"11",0.935,0.924,0.95,0.903,10
"12",0.926,0.912,0.942,0.889,11
"13",0.914,0.898,0.93,0.872,12
"14",0.901,0.882,0.919,0.853,13
"15",0.886,0.863,0.905,0.833,14
"16",0.87,0.841,0.89,0.808,15
"17",0.85,0.817,0.874,0.78,16
"18",0.829,0.787,0.856,0.75,17
"19",0.804,0.756,0.837,0.717,18
"20",0.777,0.725,0.814,0.682,19
"21",0.75,0.698,0.79,0.651,20
"22",0.721,0.669,0.765,0.615,21
"23",0.691,0.638,0.738,0.578,22
"24",0.659,0.605,0.71,0.541,23
"25",0.626,0.563,0.681,0.5,24
"26",0.593,0.523,0.651,0.462,25
"27",0.56,0.485,0.62,0.424,26
"28",0.528,0.45,0.589,0.387,27
"29",0.494,0.415,0.562,0.352,28
"30",0.46,0.38,0.532,0.316,29
"31",0.429,0.344,0.499,0.281,30
"32",0.402,0.309,0.467,0.251,31
"33",0.371,0.278,0.435,0.224,32
"34",0.34,0.248,0.405,0.192,33
"35",0.311,0.219,0.374,0.162,34
"36",0.283,0.193,0.344,0.14,35
"37",0.256,0.169,0.314,0.121,36
"38",0.231,0.146,0.286,0.106,37
"39",0.205,0.126,0.257,0.089,38
"40",0.179,0.108,0.232,0.075,39
